Journey_Name,Date,Total_Sent,Total_Delivered,Delivery_Rate,Total_Bounces,Bounce_Rate,Total_Soft_Bounces,Soft_Bounce_Rate,Total_Hard_Bounces,Hard_Bounce_Rate,Total_Block_Bounces,Block_Bounce_Rate,Total_Opens,Unique_Opens,Unique_Open_Rate,Unique_Mobile_Opens,Unique_Mobile_Open_Rate,Total_Clicks,Unique_Clicks,Unique_Click_Rate,Total_Unsubscribes,Unsubscribe_Rate,Total_Conversions,Conversion_Rate
FY21 Graduate Information Session,10/13/2020,3,3,100.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
FY21 Graduate Information Session,10/12/2020,1,1,100.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
FY21 Graduate Information Session,10/11/2020,1,1,100.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
FY21 Graduate Information Session,10/10/2020,2,2,100.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
FY21 Graduate Information Session,10/9/2020,9,9,100.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,10,4,44.44 %,1,11.11 %,14,2,22.22 %,0,0.00 %,0,0.00 %
FY21 Graduate Information Session,10/8/2020,4,4,100.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
FY21 Graduate Information Session,10/7/2020,2,2,100.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
FY21 Graduate Information Session,10/6/2020,4,4,100.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,1,1,25.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
FY21 Graduate Information Session,10/4/2020,3,3,100.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
FY21 Graduate Information Session,10/3/2020,3993,3892,97.47 %,101,2.53 %,7,0.18 %,94,2.35 %,0,0.00 %,1458,751,19.30 %,253,6.50 %,164,108,2.77 %,22,0.57 %,0,0.00 %
FY21 Graduate Information Session,,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
SIMULATION1617 journeyId 32112368-7397-46fa-b404-5d07fbd6a033,9/24/2020,3,3,100.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,1,1,33.33 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
SIMULATION1617 journeyId 32112368-7397-46fa-b404-5d07fbd6a033,,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
SIMULATION1618 journeyId 32112368-7397-46fa-b404-5d07fbd6a033,9/24/2020,3,3,100.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
SIMULATION1618 journeyId 32112368-7397-46fa-b404-5d07fbd6a033,,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
SIMULATION1619 journeyId 32112368-7397-46fa-b404-5d07fbd6a033,9/24/2020,7,7,100.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
SIMULATION1619 journeyId 32112368-7397-46fa-b404-5d07fbd6a033,,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
SIMULATION1621 journeyId 32112368-7397-46fa-b404-5d07fbd6a033,9/25/2020,4,4,100.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
SIMULATION1621 journeyId 32112368-7397-46fa-b404-5d07fbd6a033,,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
SIMULATION1622 journeyId 32112368-7397-46fa-b404-5d07fbd6a033,9/25/2020,2,2,100.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
SIMULATION1622 journeyId 32112368-7397-46fa-b404-5d07fbd6a033,,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
SIMULATION1665 journeyId 075c129a-bf85-4894-8411-b61e58284663,10/8/2020,8,8,100.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %

Journey_Name,Version,Activity_Name,Date,Email_Name,Email_Subject,Total_Sent,Total_Delivered,Delivery_Rate,Total_Bounces,Bounce_Rate,Total_Soft_Bounces,Soft_Bounce_Rate,Total_Hard_Bounces,Hard_Bounce_Rate,Total_Block_Bounces,Block_Bounce_Rate,Total_Opens,Unique_Opens,Unique_Open_Rate,Unique_Mobile_Opens,Unique_Mobile_Open_Rate,Total_Clicks,Unique_Clicks,Unique_Click_Rate,Total_Unsubscribes,Total_Unsubscribe_Rate,Total_Conversions,Conversion_Rate
FY21 Graduate Information Session,1,Grad Info Session ? Journey 06,,FY21 Graduate Info Session ? Journey                                                                ,Your path to a graduate degree starts here                                                                                                                                                              ,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
FY21 Graduate Information Session,1,Grad Info Session ? Journey 05,,FY21 Graduate Info Session ? Journey                                                                ,Get motivated for graduate school                                                                                                                                                                       ,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
FY21 Graduate Information Session,1,Grad Info Session ? Journey 04,,FY21 Graduate Info Session ? Journey                                                                ,Learn more about graduate school                                                                                                                                                                        ,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
FY21 Graduate Information Session,1,Grad Info Session ? Journey 03,,FY21 Graduate Info Session ? Journey                                                                ,Take your education to the next level                                                                                                                                                                   ,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
FY21 Graduate Information Session,1,Grad Info Session ? Journey 02,,FY21 Graduate Info Session ? Journey                                                                ,Prepare for graduate school today                                                                                                                                                                       ,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
FY21 Graduate Information Session,1,Grad Info Session ? Journey 01,10/13/2020,FY21 Graduate Info Session ? Journey                                                                ,Take the next step toward graduate school                                                                                                                                                               ,3,3,100.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
FY21 Graduate Information Session,1,Grad Info Session ? Journey 01,10/12/2020,FY21 Graduate Info Session ? Journey                                                                ,Take the next step toward graduate school                                                                                                                                                               ,1,1,100.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
FY21 Graduate Information Session,1,Grad Info Session ? Journey 01,10/11/2020,FY21 Graduate Info Session ? Journey                                                                ,Take the next step toward graduate school                                                                                                                                                               ,1,1,100.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
FY21 Graduate Information Session,1,Grad Info Session ? Journey 01,10/10/2020,FY21 Graduate Info Session ? Journey                                                                ,Take the next step toward graduate school                                                                                                                                                               ,2,2,100.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
FY21 Graduate Information Session,1,Grad Info Session ? Journey 01,10/9/2020,FY21 Graduate Info Session ? Journey                                                                ,Take the next step toward graduate school                                                                                                                                                               ,9,9,100.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,10,4,44.44 %,1,11.11 %,14,2,22.22 %,0,0.00 %,0,0.00 %
FY21 Graduate Information Session,1,Grad Info Session ? Journey 01,10/8/2020,FY21 Graduate Info Session ? Journey                                                                ,Take the next step toward graduate school                                                                                                                                                               ,4,4,100.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
FY21 Graduate Information Session,1,Grad Info Session ? Journey 01,10/7/2020,FY21 Graduate Info Session ? Journey                                                                ,Take the next step toward graduate school                                                                                                                                                               ,2,2,100.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
FY21 Graduate Information Session,1,Grad Info Session ? Journey 01,10/6/2020,FY21 Graduate Info Session ? Journey                                                                ,Take the next step toward graduate school                                                                                                                                                               ,4,4,100.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,1,1,25.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
FY21 Graduate Information Session,1,Grad Info Session ? Journey 01,10/4/2020,FY21 Graduate Info Session ? Journey                                                                ,Take the next step toward graduate school                                                                                                                                                               ,3,3,100.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
FY21 Graduate Information Session,1,Grad Info Session ? Journey 01,10/3/2020,FY21 Graduate Info Session ? Journey                                                                ,Take the next step toward graduate school                                                                                                                                                               ,3993,3892,97.47 %,101,2.53 %,7,0.18 %,94,2.35 %,0,0.00 %,1458,751,19.30 %,253,6.50 %,164,108,2.77 %,22,0.57 %,0,0.00 %
SIMULATION1617 journeyId 32112368-7397-46fa-b404-5d07fbd6a033,1,Grad Info Session ? Journey 06,,FY21 Graduate Info Session ? Journey                                                                ,Your path to a graduate degree starts here                                                                                                                                                              ,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
SIMULATION1617 journeyId 32112368-7397-46fa-b404-5d07fbd6a033,1,Grad Info Session ? Journey 05,,FY21 Graduate Info Session ? Journey                                                                ,Get motivated for graduate school                                                                                                                                                                       ,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
SIMULATION1617 journeyId 32112368-7397-46fa-b404-5d07fbd6a033,1,Grad Info Session ? Journey 04,,FY21 Graduate Info Session ? Journey                                                                ,Learn more about graduate school                                                                                                                                                                        ,0,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0,0.00 %,0,0.00 %,0,0.00 %
